measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Male,70-74 years,Ischemic stroke,Number,2019,1811.2682114154843,2397.7880107341707,1279.018491600782
YLDs (Years Lived with Disability),Saudi Arabia,Female,70-74 years,Ischemic stroke,Number,2019,1555.773344468201,2045.2946096133103,1085.6913092166271
YLDs (Years Lived with Disability),Saudi Arabia,Male,75-79 years,Ischemic stroke,Number,2019,1121.692945032279,1448.7123603160408,796.6102530627566
YLDs (Years Lived with Disability),Saudi Arabia,Female,75-79 years,Ischemic stroke,Number,2019,1029.7135100100186,1363.105965486073,741.2672476657933
YLDs (Years Lived with Disability),Saudi Arabia,Male,80-84,Ischemic stroke,Number,2019,550.3925129985994,729.5546168243568,391.3469425685223
YLDs (Years Lived with Disability),Saudi Arabia,Female,80-84,Ischemic stroke,Number,2019,682.8145784587311,907.4030739568194,493.9856006342144
YLDs (Years Lived with Disability),Saudi Arabia,Male,85-89,Ischemic stroke,Number,2019,201.80846008066558,270.6415414196561,139.38223425688903
YLDs (Years Lived with Disability),Saudi Arabia,Female,85-89,Ischemic stroke,Number,2019,368.475717316078,505.0848780606026,258.4132816003362
YLDs (Years Lived with Disability),Saudi Arabia,Male,90-94,Ischemic stroke,Number,2019,67.75032623608855,96.82862144917117,42.01628306565515
YLDs (Years Lived with Disability),Saudi Arabia,Female,90-94,Ischemic stroke,Number,2019,145.93392938630876,210.41464742842248,96.6570838667081
YLDs (Years Lived with Disability),Saudi Arabia,Male,<5 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,<5 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,5-9 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,5-9 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,10-14 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,10-14 years,Diabetes mellitus type 2,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,15-19 years,Diabetes mellitus type 2,Number,2019,199.63622268023502,415.74382996588065,31.274565821845766
YLDs (Years Lived with Disability),Saudi Arabia,Female,15-19 years,Diabetes mellitus type 2,Number,2019,147.5270330225775,308.49553080643443,16.922426290211988
YLDs (Years Lived with Disability),Saudi Arabia,Male,20-24 years,Diabetes mellitus type 2,Number,2019,1157.5496262695108,1969.885794555139,621.9045387432037
YLDs (Years Lived with Disability),Saudi Arabia,Female,20-24 years,Diabetes mellitus type 2,Number,2019,821.7292720802302,1364.18223877434,442.92434581882065
YLDs (Years Lived with Disability),Saudi Arabia,Male,25-29 years,Diabetes mellitus type 2,Number,2019,3262.33915343031,5191.323633254527,1879.8551085824013
YLDs (Years Lived with Disability),Saudi Arabia,Female,25-29 years,Diabetes mellitus type 2,Number,2019,2269.5110263284723,3612.0458809304114,1328.3677099709073
YLDs (Years Lived with Disability),Saudi Arabia,Male,30-34 years,Diabetes mellitus type 2,Number,2019,6395.196400428163,9649.872423475697,3866.8317393771354
YLDs (Years Lived with Disability),Saudi Arabia,Female,30-34 years,Diabetes mellitus type 2,Number,2019,4181.6149151953605,6370.64163765612,2576.056037657474
YLDs (Years Lived with Disability),Saudi Arabia,Male,35-39 years,Diabetes mellitus type 2,Number,2019,9832.096035014896,14833.797117275519,6132.908477560738
YLDs (Years Lived with Disability),Saudi Arabia,Female,35-39 years,Diabetes mellitus type 2,Number,2019,6024.682393764631,8841.530225598524,3717.5113652919463
YLDs (Years Lived with Disability),Saudi Arabia,Male,40-44 years,Diabetes mellitus type 2,Number,2019,12422.669071176155,18669.836334164607,7684.25884490081
YLDs (Years Lived with Disability),Saudi Arabia,Female,40-44 years,Diabetes mellitus type 2,Number,2019,7387.5464688647635,10918.896946664841,4621.79375056868
YLDs (Years Lived with Disability),Saudi Arabia,Male,45-49 years,Diabetes mellitus type 2,Number,2019,13872.870207027812,20532.936682639334,8649.569105233057
